Year,Month,Day,MaxT,MinT,AveT,Precip,SD,RH
2015,01,01,27.402649,26.83957,26.797363,0.0,10.381727,70.53644
2015,01,02,27.169952,26.70987,26.699982,0.0,8.892147,74.618706
2015,01,03,27.40158,26.894531,26.816376,0.06666667,8.903816,74.75906
2015,01,04,26.846252,26.207825,26.299805,0.0,14.1117115,58.75756
2015,01,05,26.002289,25.345215,25.366516,0.0,17.35205,46.40099
2015,01,06,25.581573,24.885712,25.136963,0.0,16.543436,48.19514
2015,01,07,25.782043,25.045166,25.407776,0.0,15.623556,51.858513
2015,01,08,25.86679,25.174713,25.489502,0.0,13.614584,58.25228
2015,01,09,26.286865,25.43869,25.789307,0.0,14.743769,55.587746
2015,01,10,25.983368,25.329071,25.572723,0.0,18.49769,43.558666
2015,01,11,25.316406,24.570282,24.850067,0.0,16.843204,46.34549
2015,01,12,25.781097,25.04599,25.365234,0.0,19.544102,39.625324
2015,01,13,25.093628,24.391937,24.757446,0.0,18.092903,42.044594
2015,01,14,25.153656,24.47055,24.976624,0.0,16.07404,49.181244
2015,01,15,25.485748,24.780914,25.144867,0.0,11.237051,64.82837
2015,01,16,25.901154,25.245209,25.763947,0.0,9.386944,71.68138
2015,01,17,26.276947,25.673187,25.985382,0.0,8.299549,75.288445
2015,01,18,26.638397,26.141571,26.55954,0.0,7.2562485,79.1159
2015,01,19,26.826294,26.416412,26.779663,0.0,6.6496468,81.10848
2015,01,20,26.941833,26.585327,27.115631,0.06666667,5.527481,84.60384
2015,01,21,27.284973,26.910736,27.309814,0.0,6.898247,81.00354
2015,01,22,27.538177,27.116394,27.663055,0.0,7.357649,80.15349
2015,01,23,27.836517,27.457977,27.60968,0.0,6.4700546,82.49308
2015,01,24,27.220612,26.895142,27.41632,0.0,5.3510094,85.356094
2015,01,25,26.750946,26.427124,26.920258,0.46666664,4.515669,87.27681
2015,01,26,27.056946,26.711975,27.459442,0.0,6.092449,83.36911
2015,01,27,27.60431,27.243225,27.826996,0.0,6.6080284,82.34559
2015,01,28,27.307312,26.979004,27.688599,0.0,6.0224304,83.779366
2015,01,29,27.246582,26.973541,27.499512,0.06666667,5.90102,83.92944
2015,01,30,27.180511,26.828125,27.439331,1.0666666,5.8289433,84.06966
2015,01,31,27.407654,27.065765,27.529724,1.4,6.2060337,83.12867
2015,02,01,27.624146,27.296356,27.935608,0.0,6.696188,82.22321
2015,02,02,27.688263,27.381561,27.980774,0.0,5.850506,84.50921
2015,02,03,27.576752,27.250946,27.84726,0.13333334,5.645357,84.93536
2015,02,04,27.746796,27.421936,27.892395,0.26666668,6.0607605,83.86946
2015,02,05,27.80484,27.495636,27.906342,0.0,5.809622,84.55045
2015,02,06,27.745697,27.449127,28.085419,0.0,5.8313713,84.65387
2015,02,07,27.718262,27.379059,27.88095,0.0,6.0883408,83.78522
2015,02,08,28.036438,27.728912,28.127197,0.0,6.563841,82.7683
2015,02,09,28.093231,27.77002,28.03067,0.2,6.163538,83.72782
2015,02,10,28.174866,27.849823,28.260254,0.0,6.7828274,82.33098
2015,02,11,28.17334,27.829163,27.936005,6.6666665,6.080063,83.859245
2015,02,12,27.535583,27.148376,27.613739,0.13333334,6.474821,82.484344
2015,02,13,27.897125,27.52243,28.021088,0.46666664,6.8400364,81.931725
2015,02,14,27.746155,27.460785,28.102264,0.46666664,6.483555,82.95431
2015,02,15,27.856262,27.552155,28.122131,0.0,6.602543,82.66158
2015,02,16,28.11377,27.7854,28.016022,0.0,7.5105457,80.15467
2015,02,17,28.006104,27.678467,28.264862,0.9999999,7.0804634,81.5606
2015,02,18,26.866882,26.472137,26.55478,16.4,5.127287,85.23909
2015,02,19,27.073792,26.73111,27.033844,0.8666667,6.828909,80.887215
2015,02,20,27.30188,26.925629,27.178558,0.46666664,6.2381516,82.68845
2015,02,21,27.685028,27.314606,27.711731,0.0,6.7147827,81.93906
2015,02,22,27.081879,26.643738,27.25882,0.06666667,6.592081,81.79227
2015,02,23,27.39383,27.014679,27.293793,5.2,5.926626,83.66385
2015,02,24,27.944885,27.570618,28.008392,0.0,8.333195,77.97115
2015,02,25,28.061127,27.745209,28.093231,0.0,6.928112,81.77593
2015,02,26,27.803497,27.491669,27.79477,1.2,5.772625,84.548416
2015,02,27,26.809021,26.418762,26.830505,2.9333332,5.682274,83.90503
2015,02,28,27.718994,27.346405,27.755585,0.0,8.0390415,78.43255
2015,03,01,27.696594,27.306213,27.86026,5.8,6.9235897,81.53843
2015,03,02,28.055084,27.701202,28.215302,0.0,7.5451813,80.29352
2015,03,03,27.739716,27.392975,27.822662,0.0,6.1980457,83.43672
2015,03,04,27.438782,27.035767,27.507294,2.4666667,6.154377,83.2471
2015,03,05,28.006226,27.654633,27.985504,0.0,7.1594524,81.048645
2015,03,06,28.16391,27.836609,28.219635,0.0,6.6788235,82.56068
2015,03,07,27.868958,27.538666,28.029419,0.0,6.117256,83.84883
2015,03,08,27.645966,27.312714,27.751038,0.6666666,5.453871,85.36426
2015,03,09,28.013489,27.688904,28.017487,3.6666667,5.8934116,84.429
2015,03,10,28.02185,27.729218,28.064423,0.0,5.9456024,84.334076
2015,03,11,28.111603,27.819641,28.210846,0.0,5.834778,84.75679
2015,03,12,28.376404,28.053894,28.26587,0.2,6.2707405,83.67029
2015,03,13,27.706146,27.341156,27.234344,24.8,5.6602707,84.343506
2015,03,14,27.924286,27.576355,27.851227,0.0,6.6273727,82.31896
2015,03,15,28.25055,27.903046,28.052887,0.06666667,6.04834,84.05264
2015,03,16,27.747528,27.491547,27.362091,14.466667,4.458168,87.76064
2015,03,17,27.638214,27.395264,27.867645,0.6666667,5.54134,85.230545
2015,03,18,27.82721,27.502289,27.2872,5.866667,5.5649605,84.654816
2015,03,19,27.96936,27.655182,28.130096,0.0,6.621437,82.62003
2015,03,20,28.169281,27.870148,28.656647,0.13333334,7.2197533,81.62153
2015,03,21,27.390625,27.02716,27.700714,17.933332,5.854252,84.2435
2015,03,22,28.100098,27.820374,27.757385,5.4,7.226982,80.61321
2015,03,23,28.36905,28.042572,28.0943,0.0,6.8887405,81.88063
2015,03,24,27.909973,27.58023,28.153992,0.4,6.2389965,83.646675
2015,03,25,26.90097,26.595184,26.966888,19.266666,4.9022064,86.225555
2015,03,26,27.328888,27.013916,27.411102,0.8666667,5.148535,85.90589
2015,03,27,27.955292,27.585052,27.59195,20.133335,6.022709,83.6866
2015,03,28,28.091888,27.815216,28.07721,1.9333332,6.401016,83.14669
2015,03,29,27.461456,27.12677,27.500977,9.133333,5.3157444,85.5246
2015,03,30,26.889252,26.534851,26.910217,11.866667,5.0319595,85.81375
2015,03,31,26.040497,25.665924,25.82135,23.800001,4.333803,86.97019
2015,04,01,26.224762,25.99887,26.448792,0.06666667,4.9984417,85.51972
2015,04,02,27.48767,27.127655,27.461761,0.0,6.753231,81.56785
2015,04,03,27.723785,27.436615,28.161102,0.0,6.870083,81.99996
2015,04,04,27.584015,27.29892,27.655426,0.26666668,5.4340878,85.335556
2015,04,05,27.229584,26.932617,27.533234,1.8,5.387556,85.35674
2015,04,06,27.327606,26.998535,27.527039,1.2,6.0646114,83.51054
2015,04,07,27.265137,26.916016,27.138916,3.3333335,5.149645,85.67587
2015,04,08,27.65982,27.39441,28.04184,0.0,6.403473,83.10539
2015,04,09,27.658173,27.395721,27.662262,2.1333332,5.5919514,84.91558
2015,04,10,27.28424,26.962585,27.437836,1.3333334,5.0365067,86.23416
2015,04,11,27.377502,27.004852,27.265839,2.8,4.849081,86.61206
2015,04,12,26.960022,26.57306,27.095428,14.733333,5.2178726,85.44896
2015,04,13,27.92984,27.604553,28.26001,0.0,7.2560806,81.0979
2015,04,14,27.96457,27.636475,28.337006,0.0,6.8947563,82.119514
2015,04,15,28.00122,27.688934,28.317139,1.1333333,6.0905037,84.186935
2015,04,16,27.884247,27.588684,28.2706,2.6,6.1605453,83.96166
2015,04,17,28.05127,27.713867,28.282562,2.0666668,6.321762,83.55342
2015,04,18,28.03366,27.716553,28.153137,0.9333333,6.3032265,83.47749
2015,04,19,28.07135,27.765045,28.07431,0.0,6.328827,83.33394
2015,04,20,28.212494,27.923065,28.41684,0.0,6.270153,83.81471
2015,04,21,28.289124,28.03769,28.697601,0.0,7.3638306,81.2993
2015,04,22,28.294525,27.983154,28.60669,0.33333334,6.895729,82.39534
2015,04,23,28.250092,28.009613,28.236298,10.000001,6.838743,82.16044
2015,04,24,28.080536,27.835907,27.905273,7.2,6.3086834,83.222244
2015,04,25,27.851807,27.555145,27.857697,0.0,6.036497,83.901436
2015,04,26,28.028534,27.754944,27.709747,4.6666665,5.9915943,83.88237
2015,04,27,28.025024,27.730865,27.778656,0.0,7.068367,81.06228
2015,04,28,28.358398,28.083557,28.310883,4.0666666,7.0441017,81.7044
2015,04,29,28.178925,27.87564,28.228546,3.733333,6.6805096,82.56533
2015,04,30,28.028778,27.672058,28.288788,0.0,6.3536873,83.47636
2015,05,01,28.481842,28.220734,28.646332,2.6666665,7.387394,81.18352
2015,05,02,28.527588,28.274658,28.605469,0.8666667,7.778473,80.1403
2015,05,03,27.943665,27.60205,28.17923,3.4666667,6.47954,83.041145
2015,05,04,27.534332,27.157288,27.837708,10.933333,6.033762,83.88992
2015,05,05,26.937561,26.558258,26.465912,18.466665,4.780241,86.16583
2015,05,06,27.40097,27.082977,27.164124,0.5333333,5.5189953,84.6712
2015,05,07,28.328583,28.049805,28.344574,0.0,6.744625,82.51656
2015,05,08,28.14264,27.845337,28.618622,0.0,6.965496,82.229546
2015,05,09,27.801575,27.444916,28.174408,3.266667,6.2675304,83.59142
2015,05,10,27.499573,27.109833,27.618866,3.5333333,5.737135,84.48458
2015,05,11,27.96753,27.624817,28.107147,7.2666664,7.2889996,80.84219
2015,05,12,27.678406,27.254059,27.957306,3.2,6.1309204,83.74447
2015,05,13,27.805267,27.445953,28.079315,6.8,5.6814613,85.04305
2015,05,14,27.236328,26.833344,26.958984,19.000002,4.688776,86.81914
2015,05,15,27.564789,27.136566,27.864075,0.06666667,6.281992,83.252975
2015,05,16,28.42929,28.088776,28.389801,3.9333332,7.252142,81.250404
2015,05,17,27.810516,27.48349,27.938202,14.4,5.924082,84.27535
2015,05,18,27.720917,27.390747,27.802338,0.8,5.3198547,85.76665
2015,05,19,27.570282,27.247864,28.083374,0.0,6.3306313,83.338
2015,05,20,27.401825,27.126953,27.74762,8.2,6.217882,83.31066
2015,05,21,28.063568,27.774048,28.423157,2.0,7.4713287,80.72118
2015,05,22,27.58371,27.262207,27.936584,1.9333334,5.9172287,84.29206
2015,05,23,26.468903,26.04776,26.229828,23.133333,4.3247223,87.3083
2015,05,24,27.03714,26.70462,27.154266,0.13333334,6.2910175,82.51682
2015,05,25,27.802185,27.526428,28.159119,1.6,7.706133,79.80713
2015,05,26,27.327637,27.051605,27.847565,0.0,6.1002846,83.72169
2015,05,27,26.772308,26.45346,27.315338,1.9333334,4.9327946,86.420425
2015,05,28,26.702515,26.389435,27.291595,3.0666666,5.326784,85.31536
2015,05,29,26.569427,26.25473,27.03421,7.3333335,5.4436836,84.76452
2015,05,30,26.760468,26.391693,27.169159,2.4,5.5936832,84.46836
2015,05,31,25.99533,25.723114,26.586151,9.333334,4.455721,87.196175
2015,06,01,26.62381,26.291107,27.123627,2.6,4.9592133,86.19318
2015,06,02,26.19403,25.88205,25.63681,22.2,3.7482357,88.606606
2015,06,03,25.646942,25.37912,26.081116,9.933333,4.324642,87.196365
2015,06,04,25.989594,25.652893,26.30362,18.2,4.6891804,86.29864
2015,06,05,26.157135,25.82779,25.660187,42.8,4.045658,87.719604
2015,06,06,26.046478,25.731781,26.245087,1.8,5.1892548,84.784904
2015,06,07,25.827118,25.486847,25.814758,25.400002,3.8551426,88.40478
2015,06,08,25.676178,25.361664,25.888336,12.0,3.8604069,88.4395
2015,06,09,25.503021,25.208008,25.724365,9.266667,3.6607933,88.93011
2015,06,10,25.805725,25.491058,26.198975,8.4,4.5156517,86.72378
2015,06,11,26.394379,26.134857,26.835693,0.0,5.267956,85.08314
2015,06,12,26.301727,26.046783,26.395721,16.266666,4.5978336,86.63846
2015,06,13,26.20935,25.946625,26.597443,0.0,5.4364986,84.38824
2015,06,14,25.376282,25.104004,25.706573,18.666668,4.1284275,87.50283
2015,06,15,25.881744,25.635712,26.178741,0.0,4.818266,85.81711
2015,06,16,26.084717,25.846832,26.4664,0.4,5.470688,84.16811
2015,06,17,26.235657,25.962463,26.597504,0.2,5.38023,84.54988
2015,06,18,26.082916,25.788177,26.446747,5.2000003,4.6200695,86.61424
2015,06,19,25.894745,25.610596,26.3331,2.2666667,4.95557,85.54547
2015,06,20,25.584137,25.298157,25.114624,19.8,3.3878078,89.37713
2015,06,21,25.231781,24.922516,24.9935,17.466667,3.3407211,89.44881
2015,06,22,25.444702,25.19455,25.643768,0.0,4.3835907,86.68085
2015,06,23,26.111298,25.873047,26.483551,5.0666666,5.954384,82.78576
2015,06,24,26.0466,25.773285,26.532532,0.13333334,6.1107216,82.38478
2015,06,25,25.556915,25.272858,25.832031,12.4,4.7237225,85.80688
2015,06,26,25.53415,25.238312,25.775116,0.13333334,4.5144367,86.38983
2015,06,27,25.286469,24.951447,25.627655,0.33333334,3.773878,88.52242
2015,06,28,24.798065,24.54425,25.204376,14.866667,2.9904728,90.67305
2015,06,29,25.093597,24.826874,25.620178,0.0,3.7861042,88.480125
2015,06,30,25.413666,25.13623,25.626923,2.6666667,3.9136333,88.09686
2015,07,01,25.814362,25.540558,25.989227,0.0,4.667486,86.10593
2015,07,02,25.388275,25.084167,25.09842,14.8,3.0689487,90.367645
2015,07,03,24.736725,24.567322,25.310394,1.4666667,3.1992683,90.08466
2015,07,04,25.315887,25.10907,25.646637,0.4,3.8247929,88.380684
2015,07,05,25.367157,25.119812,25.404907,22.666666,3.542717,89.08182
2015,07,06,25.88208,25.605133,26.121979,0.0,4.8018017,85.81802
2015,07,07,25.757904,25.428497,26.127289,1.4666666,4.684826,86.167854
2015,07,08,25.894165,25.575531,26.340393,4.6,4.707926,86.27373
2015,07,09,26.039734,25.744232,26.458344,0.0,4.466099,87.06919
2015,07,10,25.682434,25.43161,25.574524,21.8,3.922945,88.03134
2015,07,11,26.14035,25.854645,26.065338,1.1333334,4.7113476,86.03844
2015,07,12,25.62442,25.326385,26.082275,0.13333334,4.2855797,87.31288
2015,07,13,25.643799,25.36554,26.122253,2.2666667,4.5637665,86.52127
2015,07,14,25.662323,25.38327,26.093018,1.8,4.5077,86.6638
2015,07,15,25.404816,25.074524,25.796783,4.133333,4.264946,87.158516
2015,07,16,24.826324,24.61383,25.055267,16.6,3.4982052,88.99206
2015,07,17,25.478027,25.175934,25.766663,0.0,4.7038345,85.811714
2015,07,18,25.649994,25.441986,26.014008,0.0,4.3849297,86.96618
2015,07,19,25.440186,25.17215,25.657928,0.0,4.2036304,87.23838
2015,07,20,25.104004,24.779755,25.501526,0.0,4.4835205,86.26157
2015,07,21,25.040863,24.754944,25.177002,0.0,4.3470783,86.419815
2015,07,22,25.275696,25.041962,25.339996,0.0,5.205393,83.895584
2015,07,23,25.170502,24.924316,25.510956,0.8666667,5.158106,84.20336
2015,07,24,24.850739,24.640717,25.32898,4.333333,4.8505363,84.98359
2015,07,25,25.054932,24.780518,25.24997,0.0,4.799719,85.07083
2015,07,26,25.198486,24.958832,25.558258,0.0,5.652981,82.73643
2015,07,27,24.908295,24.712463,24.868866,3.6666665,4.6666126,85.15106
2015,07,28,24.85913,24.685883,24.789856,0.0,5.5685673,82.19723
2015,07,29,24.71988,24.50888,24.757324,0.0,5.684248,81.792015
2015,07,30,24.636963,24.415833,24.746979,0.0,4.740753,84.804855
2015,07,31,24.94815,24.720306,25.120575,0.0,5.2029324,83.691376
2015,08,01,24.951141,24.67627,25.347168,0.06666667,4.8863487,84.88909
2015,08,02,25.058838,24.799164,25.241272,0.46666664,4.6956825,85.386856
2015,08,03,24.664764,24.418793,25.097778,0.6666666,3.8981628,87.764565
2015,08,04,24.808197,24.588043,25.004547,0.0,3.8763447,87.76518
2015,08,05,25.133636,24.883453,25.430664,1.0,4.840416,85.10533
2015,08,06,25.01944,24.749573,25.471832,0.0,4.6144714,85.83532
2015,08,07,25.003967,24.731293,25.277802,4.133333,4.212019,86.920525
2015,08,08,24.89096,24.586456,25.128479,0.0,3.9937096,87.48759
2015,08,09,24.917908,24.647766,25.350922,0.06666667,4.3853436,86.44146
2015,08,10,24.792786,24.501617,24.915344,1.0666667,3.7850742,87.98946
2015,08,11,25.067139,24.804688,25.344574,0.0,4.720314,85.4003
2015,08,12,24.893524,24.63974,25.251984,0.0,4.33267,86.52517
2015,08,13,24.907806,24.694733,25.243591,0.0,4.082617,87.29649
2015,08,14,24.997284,24.778076,25.339325,0.0,3.7951279,88.25819
2015,08,15,24.910858,24.697723,25.081055,0.2,3.6444664,88.54944
2015,08,16,24.952698,24.742767,25.252289,0.0,3.89225,87.89511
2015,08,17,24.916595,24.667297,25.17508,5.6666665,3.7038536,88.42791
2015,08,18,24.98175,24.772125,25.294647,0.0,3.8478203,88.063446
2015,08,19,25.139252,24.914642,25.222076,0.06666667,3.7511997,88.31276
2015,08,20,24.741943,24.493805,25.081482,3.2666664,3.5960674,88.70179
2015,08,21,24.509857,24.310272,24.886047,1.8666666,3.3324394,89.40721
2015,08,22,25.149323,24.92575,25.373627,1.0,4.2806206,86.78313
2015,08,23,25.200867,24.992859,25.02832,42.600002,3.9700775,87.4871
2015,08,24,25.228394,25.030518,24.970978,7.533333,3.5980759,88.6207
2015,08,25,24.872864,24.626465,25.127838,3.4,3.6478024,88.57089
2015,08,26,25.190552,24.920105,25.410248,0.0,4.224762,86.983986
2015,08,27,25.202057,24.964935,25.43161,0.06666667,4.4364777,86.349075
2015,08,28,24.81076,24.558685,25.025177,0.6666667,3.7347584,88.22657
2015,08,29,24.849213,24.585968,25.155853,0.06666667,3.984869,87.535645
2015,08,30,25.157623,24.892303,25.177551,0.0,4.4025,86.24713
2015,08,31,24.972961,24.757355,24.819214,4.4,3.9175014,87.49766
2015,09,01,24.228424,24.109467,24.997253,0.06666667,3.6826115,88.37159
2015,09,02,24.784424,24.547516,25.242188,0.0,4.087721,87.27955
2015,09,03,25.177826,24.947449,25.215363,0.0,4.626934,85.57856
2015,09,04,25.376251,25.111572,25.361664,0.73333335,4.3375835,86.5977
2015,09,05,25.012512,24.85379,25.269379,15.466667,4.16028,87.0747
2015,09,06,25.052979,24.848145,25.07312,0.06666667,3.683319,88.42189
2015,09,07,25.286469,24.998749,25.31305,12.6,4.1642323,87.09603
2015,09,08,24.643707,24.457214,24.979614,2.0666668,3.653532,88.45126
2015,09,09,25.407104,25.168274,25.47583,0.13333334,4.572626,85.9671
2015,09,10,25.27832,25.042358,25.433655,5.0,4.2158012,87.02966
2015,09,11,25.035889,24.770721,24.986053,11.0,3.3976078,89.264366
2015,09,12,25.49591,25.246582,25.621796,0.0,4.590004,86.03546
2015,09,13,25.193573,24.974121,25.483673,6.133333,3.8324203,88.24421
2015,09,14,25.454071,25.23822,25.446136,4.4,4.044302,87.566536
2015,09,15,24.883606,24.67981,25.326508,0.8666667,3.5813694,88.91107
2015,09,16,25.106201,24.911224,25.375702,1.4,4.046118,87.50871
2015,09,17,25.21466,24.940887,25.45517,0.0,4.05431,87.542465
2015,09,18,25.379059,25.141266,25.472137,0.0,3.9949284,87.73731
2015,09,19,25.167114,24.895935,25.42865,0.0,3.9254208,87.91946
2015,09,20,25.15924,24.85907,25.459442,25.866665,3.8878193,88.05707
2015,09,21,25.167206,24.90329,25.425018,23.933334,3.8620033,88.11205
2015,09,22,25.281311,24.99704,25.60727,0.13333334,4.441126,86.476746
2015,09,23,25.784332,25.510315,25.946503,0.0,4.667576,86.070435
2015,09,24,25.29126,25.057587,25.119476,40.866665,3.3657207,89.44943
2015,09,25,24.829926,24.60498,24.880249,0.0,3.2981339,89.51263
2015,09,26,25.732819,25.472626,25.9711,0.0,4.2878857,87.2222
2015,09,27,25.952942,25.64331,26.171844,6.8,4.75469,85.99854
2015,09,28,25.636963,25.32138,25.692932,7.1333327,4.0721645,87.66316
2015,09,29,25.354645,25.068817,25.279114,15.333334,3.5110989,89.09793
2015,09,30,25.01181,24.79358,25.571838,2.8666666,3.6805992,88.76893
2015,10,01,25.83017,25.58551,26.166168,0.0,4.807167,85.83926
2015,10,02,25.82782,25.5708,25.827393,21.0,4.528145,86.39078
2015,10,03,25.347961,25.036285,25.602295,0.06666667,4.1196327,87.45198
2015,10,04,25.32843,25.10202,25.677582,3.2666664,3.4351025,89.58368
2015,10,05,26.199432,25.901459,26.407806,4.466666,4.988846,85.512505
2015,10,06,26.291626,25.961548,26.230225,19.0,4.9824467,85.378426
2015,10,07,25.58545,25.30243,26.173584,13.133333,4.594496,86.47167
2015,10,08,26.00534,25.661774,26.022064,16.733334,4.2231293,87.45311
2015,10,09,25.96579,25.584442,26.02658,17.066666,4.6462746,86.19964
2015,10,10,26.150604,25.807434,26.194946,0.8,5.0474854,85.156624
2015,10,11,26.3479,26.014374,26.47232,5.2,5.30637,84.64901
2015,10,12,26.6167,26.303192,26.760315,0.0,5.6047974,84.05872
2015,10,13,26.650116,26.302155,26.920135,0.0,4.963852,86.01392
2015,10,14,26.398285,26.037598,26.375183,11.466666,4.6833496,86.37343
2015,10,15,26.59317,26.237854,26.62909,0.0,5.1324883,85.288734
2015,10,16,26.353607,26.00946,26.896057,8.266665,4.8814125,86.22671
2015,10,17,26.533997,26.243347,26.83786,5.8,4.6610565,86.80333
2015,10,18,26.382965,26.049133,26.914368,15.0,5.0762043,85.692505
2015,10,19,26.593475,26.228485,26.985321,12.8,5.056551,85.80727
2015,10,20,26.145142,25.811523,26.44757,35.466667,4.566143,86.771126
2015,10,21,25.714935,25.416962,25.993011,12.200001,3.9244957,88.32026
2015,10,22,26.695282,26.33664,26.76471,1.0,4.9057236,86.05065
2015,10,23,26.663788,26.339508,27.06894,6.666667,5.4687347,84.72562
2015,10,24,26.768036,26.480225,27.00354,3.1333334,4.9767075,86.046326
2015,10,25,26.420074,26.078094,26.879883,0.06666667,4.7358,86.62484
2015,10,26,26.80133,26.518005,27.027344,0.0,5.3505135,85.01923
2015,10,27,26.34848,25.973053,26.04361,12.2,4.006378,88.11225
2015,10,28,25.982147,25.60202,26.043793,0.0,4.116268,87.786316
2015,10,29,25.851166,25.518127,25.98056,8.733334,3.9016209,88.37977
2015,10,30,26.448181,26.089813,26.446259,2.3333333,5.1645737,85.03621
2015,10,31,26.4747,26.073456,26.818695,6.0666666,5.4530945,84.543434
2015,11,01,26.124481,25.7276,26.166504,9.666667,4.9196243,85.50827
2015,11,02,25.442963,25.14566,25.304504,14.2,3.2444668,89.94105
2015,11,03,26.714325,26.408081,26.76056,0.0,5.6311855,83.983894
2015,11,04,27.160583,26.874725,27.287994,0.0,5.7254257,84.21307
