Year,Month,Day,MaxT,MinT,AveT,Precip,SD,RH
2006,01,01,26.803284,26.23825,26.737152,0.0,5.5988445,84.0539
2006,01,02,26.944733,26.299896,27.302856,0.0,6.025921,83.39899
2006,01,03,27.034454,26.450806,27.127228,0.0,5.1741886,85.59771
2006,01,04,26.70578,26.207,26.57071,0.0,4.6853085,86.52416
2006,01,05,26.920746,26.326141,26.686737,0.0,5.390194,84.602486
2006,01,06,26.825714,26.228851,26.920624,0.0,5.374954,84.85605
2006,01,07,26.24228,25.616058,26.13675,1.375,4.1556244,87.737206
2006,01,08,26.46457,25.890503,26.201843,1.25,5.2052097,84.69904
2006,01,09,26.191101,25.682953,26.30075,0.0,4.7824306,86.0238
2006,01,10,26.14151,25.607208,25.812225,3.5,3.9846973,88.01331
2006,01,11,26.234344,25.610962,26.067352,0.0,4.7681427,85.87182
2006,01,12,26.119415,25.474396,25.877472,1.5,4.0881176,87.7497
2006,01,13,26.342072,25.69394,26.311615,0.0,4.887306,85.72648
2006,01,14,26.656342,26.042023,26.657318,0.5,5.3359566,84.730965
2006,01,15,26.986908,26.385956,26.95169,0.0,6.720543,81.09942
2006,01,16,26.818878,26.080292,26.69168,0.0,5.4108334,84.548035
2006,01,17,26.807556,26.282959,26.575409,0.0,5.036787,85.517265
2006,01,18,26.704437,26.178802,26.76889,0.0,5.3120804,84.8989
2006,01,19,26.976898,26.399689,26.959686,0.0,5.9114075,83.38281
2006,01,20,26.974579,26.429718,26.967743,0.0,5.5131893,84.50957
2006,01,21,27.264679,26.660797,27.451355,0.0,5.9490128,83.75296
2006,01,22,27.44516,26.910492,27.257416,0.0,5.890814,83.72787
2006,01,23,27.486237,26.927643,27.584473,0.0,5.759182,84.39357
2006,01,24,27.453644,26.847809,27.671814,0.0,6.1929874,83.303604
2006,01,25,27.398407,26.827026,27.479828,0.0,5.7628765,84.28755
2006,01,26,27.34143,26.78601,27.13498,10.5,5.6388664,84.31143
2006,01,27,26.543945,25.955566,26.758423,1.0,4.460644,87.31153
2006,01,28,26.336151,25.762848,26.166412,1.25,4.0574894,88.04779
2006,01,29,26.768524,26.21167,27.059021,0.0,4.760565,86.695816
2006,01,30,26.930573,26.41333,27.141998,0.0,4.9878216,86.1285
2006,01,31,26.686554,26.193909,26.812042,0.125,4.614029,86.91661
2006,02,01,27.244781,26.698029,26.943848,0.0,5.4911976,84.54965
2006,02,02,27.524872,27.00705,27.727905,0.0,6.4942875,82.548645
2006,02,03,27.889923,27.213165,27.94809,0.0,7.297817,80.640144
2006,02,04,27.470947,26.886322,27.363495,1.125,6.3118305,82.673065
2006,02,05,26.963959,26.328094,27.16626,0.0,5.1358013,85.7373
2006,02,06,26.49289,25.892181,26.782837,2.625,3.818472,89.153824
2006,02,07,26.948578,26.357208,27.21408,0.0,5.187269,85.634766
2006,02,08,27.582855,26.994232,27.931915,1.0,6.4516163,82.8688
2006,02,09,27.190338,26.715546,27.36847,0.875,5.748642,84.22371
2006,02,10,26.957092,26.440704,27.31726,0.0,5.4825535,84.90869
2006,02,11,27.127228,26.549316,27.157501,0.0,6.1681786,82.86146
2006,02,12,26.877716,26.279236,26.884552,0.25,5.5636406,84.291115
2006,02,13,27.004211,26.375122,26.78598,0.0,5.457258,84.5018
2006,02,14,26.473053,25.736694,25.707855,10.25,3.3999119,89.70891
2006,02,15,26.185638,25.667633,26.292725,1.125,4.6624813,86.367874
2006,02,16,27.167511,26.637848,27.102325,0.625,5.650587,84.24864
2006,02,17,26.92743,26.389679,27.14383,2.0,6.3519497,82.33666
2006,02,18,26.37851,25.840698,26.629242,5.5,4.3227463,87.60981
2006,02,19,27.394043,26.802307,27.482697,1.125,6.7704525,81.5435
2006,02,20,26.995941,26.358063,27.360443,1.375,5.7368774,84.24858
2006,02,21,25.937317,25.424225,26.5307,9.25,4.3005276,87.60164
2006,02,22,25.902527,25.378906,26.292389,0.0,3.701023,89.178764
2006,02,23,26.611786,25.957306,26.875092,0.375,5.421879,84.682846
2006,02,24,27.2081,26.613861,27.556427,0.125,6.0825634,83.490166
2006,02,25,27.214111,26.703278,27.17572,0.625,6.0503845,83.20673
2006,02,26,27.24765,26.696136,27.554016,0.0,6.182802,83.21572
2006,02,27,27.766998,27.166779,27.84848,0.0,7.0238686,81.25815
2006,02,28,27.172302,26.609222,27.247131,1.25,5.6874733,84.28007
2006,03,01,26.680817,26.079254,27.149261,11.125,5.0248795,86.03141
2006,03,02,26.787811,26.265167,26.516815,7.375,4.542038,86.89463
2006,03,03,27.310059,26.795502,26.992401,1.125,5.145134,85.564644
2006,03,04,27.25534,26.715057,26.945343,1.875,4.8260307,86.4224
2006,03,05,26.881256,26.354065,26.835815,0.125,4.5156784,87.213394
2006,03,06,26.91745,26.337128,26.834808,0.0,4.98934,85.87133
2006,03,07,26.482513,25.934113,26.021393,2.875,4.1007576,87.816185
2006,03,08,25.563324,25.002197,25.25528,12.875,3.0865269,90.40262
2006,03,09,25.342438,24.805878,24.727844,3.375,1.7080593,94.51903
2006,03,10,26.678192,26.056427,26.53659,2.125,5.849186,83.14274
2006,03,11,26.735687,26.15561,26.90451,2.25,5.832428,83.55153
2006,03,12,26.636017,26.107697,27.000763,3.625,4.941744,86.1421
2006,03,13,26.013214,25.440125,25.716827,12.875,2.6980495,91.83771
2006,03,14,26.570892,25.904572,26.416779,4.75,4.5776863,86.71354
2006,03,15,26.560028,25.990692,26.17398,18.5,4.0926514,87.949615
2006,03,16,26.531403,26.068756,27.05185,12.0,5.0001106,86.02047
2006,03,17,26.966705,26.431122,26.813873,5.375,5.6889343,83.87038
2006,03,18,26.03067,25.532135,25.944916,0.0,3.1428432,90.61986
2006,03,19,26.681885,26.045197,26.565704,0.25,5.2523537,84.88877
2006,03,20,26.98941,26.26828,26.374054,0.0,4.7314415,86.23258
2006,03,21,27.139252,26.572968,27.392365,0.5,5.8408947,83.99297
2006,03,22,26.062103,25.645447,25.151031,31.25,3.6489582,88.58307
2006,03,23,27.071075,26.416718,27.00296,0.0,6.8117695,80.900536
2006,03,24,26.897766,26.256042,27.28476,0.0,6.3122425,82.59172
2006,03,25,27.114197,26.485199,27.3497,1.75,6.949404,80.907394
2006,03,26,27.348663,26.808868,27.35913,1.25,5.56703,84.713745
2006,03,27,27.413788,26.7471,27.040924,6.25,5.554121,84.46157
2006,03,28,27.11966,26.500214,27.30008,0.375,4.7546043,86.89925
2006,03,29,27.35556,26.72763,27.288666,0.0,5.5992165,84.56168
2006,03,30,27.707977,26.998383,27.9198,0.5,6.7622623,82.03121
2006,03,31,27.669739,27.102509,27.541718,0.125,5.823389,84.18002
2006,04,01,27.562836,26.976288,28.059418,0.125,6.609329,82.58015
2006,04,02,26.916412,26.30951,27.127472,1.5,4.823065,86.57526
2006,04,03,27.630219,27.061066,27.763489,1.375,6.1451893,83.521065
2006,04,04,26.701813,26.175354,26.774536,1.125,3.095955,91.2018
2006,04,05,26.191437,25.703156,26.365143,4.5,3.0175018,91.215126
2006,04,06,26.87204,26.324066,26.732208,3.125,4.3018417,87.74434
2006,04,07,27.369171,26.751495,27.89621,0.5,5.7217903,84.77501
2006,04,08,28.324066,27.697174,28.38736,0.0,7.3884544,80.89527
2006,04,09,28.066132,27.52066,28.599457,0.125,6.5138702,83.36322
2006,04,10,27.72348,27.166107,28.592072,0.0,6.028515,84.59624
2006,04,11,27.912994,27.353241,28.389252,0.0,6.320156,83.65943
2006,04,12,27.459503,26.907501,27.74649,5.0,4.902359,86.84077
2006,04,13,27.702911,27.079346,27.775879,0.125,5.5894146,85.022285
2006,04,14,27.613281,27.02005,28.112885,0.0,5.724674,84.95877
2006,04,15,27.172882,26.603241,27.732086,4.75,5.2314644,85.945526
2006,04,16,26.28061,25.738068,26.80661,5.625,3.9332638,88.84338
2006,04,17,27.048004,26.572113,27.449432,0.375,5.637287,84.60256
2006,04,18,26.593964,26.047363,27.147552,4.875,4.5609684,87.319756
2006,04,19,26.410858,25.844147,26.600037,1.375,3.9607944,88.62769
2006,04,20,26.387054,25.759796,26.996002,3.375,4.714632,86.775276
2006,04,21,26.016754,25.511871,25.746368,6.75,3.0241642,90.86715
2006,04,22,26.35254,25.826324,26.539032,1.0,4.557802,86.86638
2006,04,23,26.672394,26.040344,27.066437,0.0,4.650585,87.008835
2006,04,24,26.14212,25.532623,26.159576,11.5,3.6891289,89.12848
2006,04,25,24.107513,23.807587,24.222717,6.0,1.8578377,93.85522
2006,04,26,26.05066,25.50119,25.641083,3.75,4.442766,86.49889
2006,04,27,25.67987,25.18863,26.815613,8.5,4.1554413,88.21944
2006,04,28,26.065643,25.490509,26.455414,11.0,3.0412197,91.19316
2006,04,29,25.922302,25.47757,26.635315,17.25,3.7468834,89.26424
2006,04,30,25.99234,25.553467,26.598541,11.75,3.5540714,89.794586
2006,05,01,26.094208,25.581085,26.416168,3.125,3.5070877,89.82052
2006,05,02,25.882477,25.29599,26.13205,4.125,3.2200508,90.49534
2006,05,03,26.185516,25.569641,26.797455,0.375,4.0078354,88.62574
2006,05,04,26.38919,25.712036,27.9393,0.125,5.089737,86.49087
2006,05,05,26.071503,25.551147,27.189667,4.0,4.229433,88.27052
2006,05,06,25.995087,25.48407,27.412537,0.0,4.8654423,86.68198
