Year,Month,Day,MaxT,MinT,AveT,Precip,SD,RH
2013,01,01,26.476715,25.342773,25.355682,0.0,21.36794,33.953663
2013,01,02,26.704773,25.561401,25.729065,0.0,21.190546,35.939667
2013,01,03,27.526825,26.264008,26.873505,0.0,23.00998,34.989285
2013,01,04,27.759735,26.517517,26.548553,0.0,22.03637,36.53633
2013,01,05,26.906067,25.639954,25.863373,0.0,21.36067,35.93789
2013,01,06,27.329071,25.977234,25.994995,0.0,19.32905,42.481342
2013,01,07,27.148926,26.08554,26.888702,0.0,16.850307,52.434933
2013,01,08,27.417786,26.44638,27.244476,0.0,14.423834,60.12693
2013,01,09,28.245972,27.098267,27.251678,0.0,20.025469,44.66523
2013,01,10,28.15094,26.966034,27.017975,0.0,21.86694,38.741573
2013,01,11,27.611877,26.264313,26.832153,0.0,22.096497,37.418003
2013,01,12,27.85968,26.622314,26.92929,0.0,21.298187,40.022877
2013,01,13,28.032227,26.640839,27.350128,0.0,23.372337,35.789074
2013,01,14,27.936249,26.86966,27.503448,0.0,16.456184,55.194347
2013,01,15,28.987518,27.910492,28.670502,0.0,16.285744,58.57666
2013,01,16,29.490723,28.33545,28.772919,0.0,20.63555,47.82397
2013,01,17,29.103607,28.263916,28.97229,0.0,14.631191,63.43102
2013,01,18,29.096344,28.201813,29.118591,0.0,12.972612,67.85005
2013,01,19,28.848602,28.160034,29.103546,0.05,10.65156,73.57929
2013,01,20,28.676056,27.891205,29.240631,0.2,11.620464,71.40373
2013,01,21,28.710052,27.907074,28.516968,0.35,10.223057,73.76426
2013,01,22,28.35553,27.667816,28.221832,1.2,9.726267,74.606636
2013,01,23,28.728668,28.071716,29.172455,0.0,11.919764,70.55128
2013,01,24,29.159058,28.442139,28.628876,0.45,11.645319,70.30802
2013,01,25,29.361176,28.622955,28.720398,0.0,12.223047,69.00022
2013,01,26,28.28241,27.50467,28.51535,0.05,10.563471,72.88809
2013,01,27,27.69223,27.055695,27.234344,2.95,8.655537,76.0585
2013,01,28,28.739502,27.938538,27.965668,0.65,15.589333,58.686604
2013,01,29,28.597412,27.756042,28.35553,0.15,15.023169,61.081726
2013,01,30,28.927551,27.942719,28.481018,0.0,16.2639,58.17409
2013,01,31,28.514801,27.541962,27.987701,0.0,24.374363,35.48837
2013,02,01,27.388306,26.363739,26.85733,0.0,26.322407,25.559748
2013,02,02,26.731781,25.58786,26.117493,0.0,23.401182,30.866945
2013,02,03,27.095306,25.910736,26.5831,0.0,19.651943,43.518593
2013,02,04,28.748291,27.534119,28.254486,0.0,18.768948,51.09112
2013,02,05,29.453949,28.316162,28.985321,0.0,19.056469,52.4065
2013,02,06,28.849365,27.986969,29.028503,0.0,14.492802,63.894695
2013,02,07,30.116669,29.047882,30.036163,0.0,23.143625,45.600918
2013,02,08,29.891144,28.96933,29.329926,0.6,20.714918,49.28613
2013,02,09,29.71051,28.674683,29.460999,0.0,17.806635,56.73502
2013,02,10,29.0018,28.181,28.319305,1.25,13.543457,64.84091
2013,02,11,29.561218,28.532623,29.617432,0.0,17.24693,58.471573
2013,02,12,29.555878,28.709229,29.69751,0.0,15.6882,62.398827
2013,02,13,29.685272,28.899384,30.30246,0.0,17.272905,60.016434
2013,02,14,29.666931,28.862183,29.884003,0.0,16.96831,59.76529
2013,02,15,29.881012,29.0914,30.00058,0.0,16.40057,61.371494
2013,02,16,30.269592,29.363098,30.354004,2.15,17.213064,60.27263
2013,02,17,29.104584,28.27652,29.648163,2.5,13.001028,68.75061
2013,02,18,28.395477,27.639862,28.019897,4.8,11.51156,69.589554
2013,02,19,28.164398,27.53305,28.21582,0.7,10.929218,71.45597
2013,02,20,28.660645,27.807983,28.720215,1.7,12.57201,68.11485
2013,02,21,28.73645,28.007538,29.099854,9.7,12.489578,69.01355
2013,02,22,29.375671,28.591217,29.378326,1.95,14.166931,65.41368
2013,02,23,29.927826,29.049194,29.962372,0.0,15.721251,62.890022
